學群,簡要介紹,學習內容,主要學類,多元能力,性格特質
資訊 學群,以資訊處理各層次的理論與實務技術，包括電腦程式設計與系統、電腦軟硬體結構、網路架設、資訊安全保密、資訊系統的統整、規劃與管理。,資訊學群主要學習電腦的軟硬體結構、各種電腦作業系統的原理，進而瞭解各種電腦程式設計的方法、找出電腦程式的錯誤並加以修正。課程中更包括學習資訊系統的統整規畫與管理，電腦保密方法及電腦病毒防治。,"['資訊工程', '生物資訊', '資訊傳播', '圖書資訊', '數位學習', '資訊管理', '媒體設計', '電機工程', '光電工程', '電子工程', '通訊工程', '電機資訊', '數據統計']","{'程式設計': '了解程式語法以及邏輯架構，撰寫、修改程式，開發並設計系統。', '數理科學': '能選擇適當的科學、數理知識或邏輯來思考問題，依據科學規律正確地推演出答案或排列資訊。', '邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '堅毅負責': '常常長時間專注投入於特定事物，排除干擾訊息，會對所承諾的事物，會負起責任目標、執行到底，享受追求成就。', '變通開創': '常常對多種事物，表達熱情興趣，對於既有事物，進行拆解、重組，給予新的理解與觀點，並且喜愛創造出令人意想不到的新事物。'}"
工程 學群,將基礎科學的知識與工程技術結合，依生產實務區分為各專門領域，以培育高層技術人才。包括所有與「工程」相關的學系。,電機電子：包括電路的基本結構與構造、電子零件的功能及原理、設計與測試積體電路、電子零件組成機器設備、通訊器材的技術等。機械工程： 包括機械材料與加工方式、機械作用原理、飛機船舶的結構、機械設計與製作、發動機原理等。土木工程：包括規劃設計興建與管理橋樑道路及建築物、各種土木工程材料、繪製工程藍圖、灌溉工程與水土保持等。化學工程：包括化學工業的程序控制與設計、高分子材料的成份與加工、化工產品製造過程的能量需求、觸媒的作用原理、化學平衡定律等。材料工程：包括電子、陶瓷、金屬、高分子等材料的理論基礎、制程、加工與分析檢測，提升高科技產值及發揮技術密集效果。工業管理：工業工程與管理的科際整合，強調以資訊、管理及自動化生產之專業人才培養。,"['電機工程', '光電工程', '電子工程', '通訊工程', '工程科學', '機械工程', '航空工程', '土木工程', '水利工程', '化學工程', '材料工程', '生醫工程', '環境工程', '建築', '工業管理', '運輸物流', '科技教育', '資訊工程', '工程跨學類', '電機資訊']","{'數理科學': '能選擇適當的科學、數理知識或邏輯來思考問題，依據科學規律正確地推演出答案或排列資訊。', '邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '程式設計': '了解程式語法以及邏輯架構，撰寫、修改程式，開發並設計系統。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '堅毅負責': '常常長時間專注投入於特定事物，排除干擾訊息，會對所承諾的事物，會負起責任目標、執行到底，享受追求成就。', '合作互助': '總是願意優先關照、包容他人的需求，在不同意見中尋求最大的合作可能，優先尋求團體的共同價值，信任團體成員的指引。'}"
數理化 學群,是所有工程、科學、科技、數位系統運作的基礎知識，數理化學群強調基礎數理化的探究、周密的思考邏輯訓練，輔以系統化的課程，使同學培養基礎科學的知識能力，並建立實務研究的扎實背景。,以基礎自然科學的基礎原理與原則的知識為核心，數理化的探究強調以符號、圖形和數字做邏輯性思考，並且以實驗與實作探究細膩的自然、生物現象。,"['數學', '化學', '物理', '生化', '數學教育', '自然科學', '財金統計', '數理化跨學類', '數據統計']","{'數理科學': '能選擇適當的科學、數理知識或邏輯來思考問題，依據科學規律正確地推演出答案或排列資訊。', '邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '程式設計': '了解程式語法以及邏輯架構，撰寫、修改程式，開發並設計系統。', '敏銳創造': '能覺察特定事件與觀念、理論之間的差異，且能對事物進行拆解、組合、重新詮釋，呈現新穎之處。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '堅毅負責': '常常長時間專注投入於特定事物，排除干擾訊息，會對所承諾的事物，會負起責任目標、執行到底，享受追求成就。', '深思力行': '常常追求事物的條理秩序，審慎確認事物的彼此關係，行事仔細考量後果。'}"
醫藥衛生 學群,醫藥衛生學群學習維護人類身心健康相關之知識及技術，從個人到整個人群，包括身心健康的維持、疾病或傷害的預防與治療。,以維護人類身心健康相關為目標之知識及技術，包含生理運作機制、藥物作用機制、疾病與傷害發展與預防等知識技術，在人類身上強調預防與治療的作用與機制。,"['運動保健', '醫學', '公共衛生', '牙醫', '物理治療', '職能治療', '護理', '醫學檢驗', '影像放射', '藥學', '食品營養', '呼吸治療', '健康照護', '化妝品', '職業安全', '獸醫', '醫務管理', '視光', '語療聽力']","{'語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '社會覺察與合作': '覺察並理解他人的感受或想法，並調整自己的做法，配合他人來完成任務。', '批判思考': '運用不同觀點對問題進行理性分析，對問題的解決方法或結論，評估出優缺點、支持、反對的意見。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '合作互助': '總是願意優先關照、包容他人的需求，在不同意見中尋求最大的合作可能，優先尋求團體的共同價值，信任團體成員的指引。', '樂群敬業': '總是表現活潑、傳遞熱情，主動參與活動，樂衷於與夥伴一同完成任務。'}"
生命科學 學群,生命科學學群著重於動植物生活型態、生命現象的知識探究，包括生命的發生、遺傳、演化、構造、功能、細胞及分子層次機制等。,學習的內容包含了生物生命相關領域的基礎學科，包含生態學、演化學、生理細胞學、分子生物學、基礎醫學、尖端生物科技等主要生命科學領域，以及病毒、微生物、植物、動物等所有生物類，並包含生物工程科技等技術與學理。,"['生物資訊', '生化', '生命科學', '生物科技', '植物保護', '食品生技', '生醫工程', '生態']","{'邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '數理科學': '能選擇適當的科學、數理知識或邏輯來思考問題，依據科學規律正確地推演出答案或排列資訊。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。', '敏銳創造': '能覺察特定事件與觀念、理論之間的差異，且能對事物進行拆解、組合、重新詮釋，呈現新穎之處。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '堅毅負責': '常常長時間專注投入於特定事物，排除干擾訊息，會對所承諾的事物，會負起責任目標、執行到底，享受追求成就。', '探究冒險': '常常樂於探索未知事物、能夠容忍陌生情境，樂於把困難視為一種挑戰，在探索、挑戰未知中偏好看見自己的成長。'}"
生物資源 學群,生物資源學群強調的是動植物等生物資源的栽培改良及病蟲害防治、家畜的品種改良、畜漁產品的加工利用及研發、森林保護與經營管理、生活環境之設計經營、農業機具的製造與相關技術之訓練等，屬於生物資源與科技整合的學門。,生物資源領域有：農藝、畜產、園藝、獸醫、森林、植病、海洋資源。,"['獸醫', '植物保護', '生態', '農藝', '動物科學', '園藝', '森林', '海洋資源', '食品生技']","{'主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。', '邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '數理科學': '能選擇適當的科學、數理知識或邏輯來思考問題，依據科學規律正確地推演出答案或排列資訊。', '敏銳創造': '能覺察特定事件與觀念、理論之間的差異，且能對事物進行拆解、組合、重新詮釋，呈現新穎之處。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '樂群敬業': '總是表現活潑、傳遞熱情，主動參與活動，樂衷於與夥伴一同完成任務。', '合作互助': '總是願意優先關照、包容他人的需求，在不同意見中尋求最大的合作可能，優先尋求團體的共同價值，信任團體成員的指引。'}"
地球環境 學群,地球環境學群主要研究人類生存環境的各種自然現象及人文現象、資源的分佈與特色、污染成因與防治，也研究改變人文與自然環境之科學理論及工程技術等。,以地球的地圈、水圈、氣圈、生物圈等生態系統知識為核心，研究這些地球環境系統上各種現象的成因以及觀察指標設計、以及自然災害防治等，也研究改變人文與自然環境之科學理論及工程技術等。,"['環境工程', '地球科學', '地理', '海洋科學', '大氣科學', '防災', '史地', '工程科學', '水利工程']","{'數理科學': '能選擇適當的科學、數理知識或邏輯來思考問題，依據科學規律正確地推演出答案或排列資訊。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。', '敏銳創造': '能覺察特定事件與觀念、理論之間的差異，且能對事物進行拆解、組合、重新詮釋，呈現新穎之處。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '合作互助': '總是願意優先關照、包容他人的需求，在不同意見中尋求最大的合作可能，優先尋求團體的共同價值，信任團體成員的指引。', '深思力行': '常常追求事物的條理秩序，審慎確認事物的彼此關係，行事仔細考量後果。'}"
建築設計 學群,建築設計學群主要探究自然社會環境、都市建築規畫、以及室內設計、商業設計等結合人文藝術與工程技術領域，對物體、空間或環境同時能賦予實用與美學之特性。,以人文藝術與數位、工程科技等知識、技術為主，學習圖學、色彩學、設計概念、建築設計、景觀規劃與設計等實用功能及美學整體表達。,"['媒體設計', '建築', '都市計畫', '空間設計', '工業設計', '工藝', '商業設計', '服裝設計', '藝術設計']","{'敏銳創造': '能覺察特定事件與觀念、理論之間的差異，且能對事物進行拆解、組合、重新詮釋，呈現新穎之處。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。', '空間定向': '能覺察環境、物體與自己的相對位置，辨別出方向、維度，想像物體在移動或重新排列後的外觀。', '遠觀細察': '能在遠、近距離中能分辨、比較色彩差異，在不同光線強度下能觀察物體大小、距離、移動變化。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '變通開創': '常常對多種事物，表達熱情興趣，對於既有事物，進行拆解、重組，給予新的理解與觀點，並且喜愛創造出令人意想不到的新事物。', '合作互助': '總是願意優先關照、包容他人的需求，在不同意見中尋求最大的合作可能，優先尋求團體的共同價值，信任團體成員的指引。'}"
藝術 學群,藝術學群包括各類表達形式及創作過程的學習及賞析，結合各種特定形式來闡述人生中抽象意義層次的理念感受，運用創作者本身意識並配合各項藝術表現的基礎理論，用以詮釋生命的各種可能性。,以人文社會、哲學、史學等知識背景為核心，學習各種藝術表達的概念與創作實踐，使用各種物質媒材為基底展現藝術的表達以及創造論述。,"['美術', '音樂', '表演藝術', '藝術設計', '工業設計', '工藝', '商業設計', '服裝設計', '舞蹈', '藝術跨學類']","{'敏銳創造': '能覺察特定事件與觀念、理論之間的差異，且能對事物進行拆解、組合、重新詮釋，呈現新穎之處。', '語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。', '專注力': '投入心力在特定訊息及排除外部干擾。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。', '遠觀細察': '能在遠、近距離中能分辨、比較色彩差異，在不同光線強度下能觀察物體大小、距離、移動變化。', '手工操作': '能依據物體變化（如移動速度），快速地調整出肢體反應，或以運用手部與手指進行精細動作。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '堅毅負責': '常常長時間專注投入於特定事物，排除干擾訊息，會對所承諾的事物，會負起責任目標、執行到底，享受追求成就。', '樂群敬業': '總是表現活潑、傳遞熱情，主動參與活動，樂衷於與夥伴一同完成任務。'}"
社會心理 學群,社會心理學群著重社會結構及社會現象的觀察、分析批判，關懷人類心智行為形成成因、表現形式、後端影響的系統結構、個體心理狀態的探討，並且提供各種助人專業訓練，以提升眾人、個體的生活福祉。,著重社會系統與社會學的學習，以及個體內在心理歷程的探究為核心，包含性別、文化、族群、地區、階級、社會公平等的探究，採用量化、質性方法的研究方法進行社會生活現象的分析。,"['心理', '社會學', '社會工作', '人類民族', '兒童家庭', '宗教', '輔導諮商', '犯罪防治', '勞工關係']","{'語文理解與表達': '能透過語文理解他人想法形成特定概念，且能說明特定想法或因果關係。', '社會覺察與合作': '覺察並理解他人的感受或想法，並調整自己的做法，配合他人來完成任務。', '批判思考': '運用不同觀點對問題進行理性分析，對問題的解決方法或結論，評估出優缺點、支持、反對的意見。', '問題解決': '分析並預判問題的成因與後果，設想出合適的解決方法及使用的工具。', '邏輯推理': '能捕捉事物運作的規律或關聯性，歸納或是推演不同事物的差異或因果關係，並得到特定理解。', '主動學習': '積極尋求新資訊用以掌握問題的前因、後果以及預期影響，並依據各環節選擇適合的學習行為。'}","{'主動積極': '常常主動提出特定見解，樂於付出活力與熱情投入特定問題、活動，引領他人的行動。', '合作互助': '總是願意優先關照、包容他人的需求，在不同意見中尋求最大的合作可能，優先尋求團體的共同價值，信任團體成員的指引。', '親和接納': '總是願意關懷他人情緒與感受，樂於接納與照顧他人困擾與情緒，表現和藹友善、易於親近。'}"
