學校,系所,學系特色,學科意涵,高中階段可以準備的學習方法或方向,適合從事工作,多元能力,性格特質,網址,學類
國立臺灣大學,中國文學系,本系在各個領域均有所發展，為全國最早成立的中文系，具備學科綜合、領域完整的特色。,本系名為「中國文學系」，「文學」一詞係採廣義，包括一切傳統至當代之經典文獻及其相關文化與價值體系的文學內容。,一、練習以口語或文字，整理、歸納各種文字影視閱讀文本的問題意識、結構安排與主要論點，並進行優、缺點之評論。二、練習以口語或文字表達個人觀點，並與他人進行溝通與討論。三、關心時事發展，並進行社會參與，進而多做現在與過去之聯想與對話。四、嘗試問題式探究，並以小論文之撰寫，具體呈現個人研究成果或觀點。,"['中學教師', '教授／副教授／助理教授', '文字編輯校對人員', '編輯', '行政人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '記憶詮釋', '快速知覺與總結', '空間定向', '同時多工', '專注力', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '問題解決']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",http://www.cl.ntu.edu.tw/main.php,中國語文學類
國立臺灣大學,外國語文學系,培養深具人文素養之高級外語及學術研究人才，訓練學生獨立思考，並推動外國語文學研究，藉深入了解外國文學與文化，提升語言訓練之層次 。,本系主修課程以英文為主，其他歐洲語言為輔，核心課程包含高階語言訓練、文學相關必選修、語言學基礎科目、第二外國與語。,一、透過持續收聽英語廣播新聞(例如：BBC、TED Talks)、閱讀英語報章雜誌，培養英語文聽、讀能力。二、廣泛接觸文學、文化等書籍，培養文學及人文研究的初步素養。三、提早接觸第二外國語言。,"['書籍編譯人員', '中學教師', '國貿人員']","['語文理解與表達', '敏銳創造', '批判思考', '問題解決', '主動學習', '自省促進', '邏輯推理', '記憶詮釋', '快速知覺與總結']","['合作互助', '堅毅負責', '深思力行', '變通開創', '主動積極', '樂群敬業', '開朗活潑', '親和接納']",http://www.forex.ntu.edu.tw/main.php,英語文學類
國立臺灣大學,歷史學系,本系是臺灣最早設置的大學歷史系，也一直是臺灣最重要的歷史教學與研究機構。本系以培養歷史教學與研究人才，及推展人文教育為教學目的。提供四年課程，課程規劃由淺入深，同學可以量才適性，選擇至少一項專業領域，亦有很大的選修空間，修畢128 學分後，可獲得歷史學學士學位。,歷史學，研究古今中外人類文明歷程的學問。本系致力於訓練學生探討歷史問題的能力，並培養深厚的人文素養與歷史思維， 俾在日後生涯中，無論從事史學工作或其他事業， 都能擁有解決問題與多元創意的專業能力與寬廣的人文與歷史視野。,選擇一個有興趣的小題目，嘗試使用上述的方法撰寫小論文、完成有興趣之學習歷程檔案。,"['哲學／歷史／政治相關研究人員', '教授／副教授／助理教授', '中學教師']","['邏輯推理', '快速知覺與總結', '記憶詮釋', '語文理解與表達', '敏銳創造', '專注力', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '空間定向']","['合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創', '自信肯定', '親和接納', '主動積極', '樂群敬業']",http://www.history.ntu.edu.tw,歷史學類
國立臺灣大學,哲學系,本系設立宗旨在於培養品學兼備的哲學專業人才，使學生能掌握普遍價值，建立適切的人生觀與世界觀，在多元化且國際化的社會中具備人文素養與批判思考的能力，進而關懷他人與服務社會。,國立臺灣大學 哲學系：現代社會中，自然環境、科技及人工智慧快速發展中，世界充滿著許多未解的疑惑，不論是關於自然或人事，我們不免感到驚奇而發問。 在追求理解的過程中，若不以眾人視為理所當然的想法為滿足，而能追根究底問下去並且提出進一步的批判與反省，此時的提問與求知便構成了哲學的思考活動。,加強語文能力、多練習書寫及口頭表達；同時可以多關心時事議題，綜合背景知識及所具有的資料，提出自己的看法，練習對於問題的批判思考。可參考哲學普及相關的叢書或網路資訊，了解哲學基本討論的議題為何，可輔助練習思考。,"['教授／副教授／助理教授', '哲學／歷史／政治相關研究人員', '講師']","['批判思考', '語文理解與表達', '敏銳創造', '邏輯推理', '數理科學', '快速知覺與總結', '主動學習', '自省促進', '說服協商', '問題解決']","['樂群敬業', '自信肯定', '親和接納', '堅毅負責', '深思力行', '變通開創', '探究冒險']",https://www.philo.ntu.edu.tw/,哲學學類
國立臺灣大學,人類學系,為全國最早設立的人類學教學研究機構，累積了豐厚的研究資料與學術能量。涵蓋人類學四分支與博物館學，理論和田野訓練並重，兼具學士班至博士班課程，又具博物館與學刊發行，提供了完整之教學與研究訓練系統；不僅持續臺灣考古學、南島語族原住民文化及漢人社會等傳統的研究領域，更把田野工作地延伸到東北東南亞、大洋洲、非洲與南美洲等，新角度的親屬、族群、性別、社會記憶、與物質文化等主題探索亦陸續開展，是本系獨特的優勢,本系強調整合性之人類學研究取向，學士班階段規劃人類學四大分科考古學、文化人類學、體質人類學、語言學的基礎教學，碩、博士班階段則以考古學、文化社會人類學為主；民國82年更加入博物館學相關領域課程。對於臺灣人類學專業人才的培育、知識傳承及學術發展，承擔重責大任。,實踐、參與、觀察,"['教授／副教授／助理教授', '市場調查／市調分析', '社會／人類學研究人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '專注力', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '問題解決']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",http://anthro.ntu.edu.tw/,人類民族學類
國立臺灣大學,圖書資訊學系,*本系為以培育圖書館與各式資訊服務機構之中堅人才，服務社會人群為目標，為國內第一個體系完整之圖書館學教育機構。*本系擁有豐富的圖書資源與現代化的教學、視聽設備與場館空間，實為目前國內最完整之圖書資訊教育和學習環境。*本系師資來自圖書資訊學、資訊工程、資訊管理、教育科技、心理學、管理學等多元領域，  並兼聘建築與兒童文學等專長領域之師資，提供多元課程刺激與跨領域教學。,是以處理資訊流為主要研究範圍，著重探究其性質、載體與內容的分析，橫跨於數學、邏輯、心理學、語言學、電腦科技、操作研究、傳播學、圖書館學、管理學等多種學科，具「跨學科」之特性，於人文學、社會科學與應用科學三大領域交錯重疊，形成一門以多元領域作為知識來源之學科。,以上學習方法是進入圖資系後會學習的專業能力，同學在高中階段建議可以培養對事物的好奇心、磨練基本的文書處理技能，並對學習新事物永遠保有熱情。,"['圖書/檔案管理', '數據分析師', 'UI/UX設計師', '行銷企劃人員', '專案分析管理']","['快速知覺與總結', '批判思考', '主動學習', '語文理解與表達', '邏輯推理', '社會覺察與合作', '問題解決', '資源管理']","['開朗活潑', '主動積極', '樂群敬業', '變通開創', '親和接納', '深思力行', '探究冒險']",https://www.lis.ntu.edu.tw/,圖書資訊學類
國立臺灣大學,日本語文學系,　本系為培養學生學習及研究日本語文能力，進而造就專業人才，於民國83年奉准成立，為國立大學中首設之日文系。並為延續且落實學士班教育目標，培養具專業日文素養及國際觀之多元人才。,本系名為「日本語文學系」，指專門在研究日本語文及日本文化領域之學系。,建議對於日語有興趣的同學，可在高中時期累積以下各種經驗，從中培養相關基本能力。一、接觸日語小說、日語戲劇、日語影片、紀錄片等文藝創作，養成文字影視閱讀與賞析能力。二、練習以口語或文字，整理、歸納各種文字影視閱讀文本的問題意識、結構安排與主要論點，並進行優、缺點之評論。三、練習以口語或文字表達個人觀點，並與他人進行溝通與討論。,"['講師', '其他媒體事業人員', '國貿人員']","['語文理解與表達', '問題解決', '邏輯推理', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '記憶詮釋', '快速知覺與總結', '專注力', '聽覺辨識', '敏銳創造']","['主動積極', '樂群敬業', '合作互助', '深思力行', '自信肯定', '開朗活潑']",https://japan.ntu.edu.tw/ch/news,日語文學類
國立臺灣大學,戲劇學系,在厚實的人文教育架構下，提供全面、均衡的戲劇教育，讓學生能藉由戲劇透視人性與人生，促進認知、情意與肢體技能之全面成長，提昇肢體與語言溝通表達能力與團隊合作精神。,戲劇是一門綜合的藝術，涵蓋層面極廣，舉凡歷史、理論、編創、表導演、設計（舞台／燈光／服裝／影像）、技術（舞台／燈光／服裝／影像）等無不包羅。 ,建議多參與戲劇相關之藝文活動，培養設計或手做的興趣，從事藝文創作（文字、影像、表演或設計繪畫皆可），並訓練表達能力（文字、口說、圖像或肢體等形式皆可）及團隊合作、溝通之能力。,"['教育研究人員', '展演技術人員', '設計工作者', '編導與演藝人員', '創意行銷及傳播與媒體從業人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '數理科學', '記憶詮釋', '快速知覺與總結', '同時多工', '專注力', '手工操作', '肢體力量與協調', '遠觀細察', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '問題解決', '程式設計', '機械操作', '資源管理']","['堅毅負責', '深思力行', '合作互助', '變通開創', '主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '探究冒險']",http://theatre.ntu.edu.tw/,表演藝術學類
國立臺灣大學,數學系,本系歷經六十餘年教學研究與經營，培育了許多世界知名的數學家與統計學家，其中有九位為中央研究院院士。除了學術界之外，在其他領域亦有許多表現非常傑出的系友。為了延續並增長畢業系友在國內外傑出表現的成績，本系對於增聘教師、提昇學術風氣、改善教學環境以及培育學生不遺餘力，冀望藉由如此努力來提升臺大數學系在國際上的知名度，走出臺灣是我們追求的目標。,數學探討數與形的結構，是一切科學與工程的語言與基礎。本系大學部的課程與訓練致力於培養學生的「基礎數學能力」，談論的對象既是數學理論研究的基本物件，又常是基礎科學與應用學科中處理許多問題極有威力的工具、許多現象的絕佳模型。,盡量修習高中學校開設的加深加廣課程，並利用我們系上的線上課程培養獨立學習的能力。,"['教授／副教授／助理教授', '產品研發工程師', '其他資訊專業人員']","['邏輯推理', '問題解決', '敏銳創造', '語文理解與表達', '運作分析', '程式設計', '系統運作', '數理科學', '記憶詮釋', '快速知覺與總結', '空間定向', '專注力', '批判思考', '主動學習', '自省促進']","['深思力行', '變通開創', '主動積極']",http://www.math.ntu.edu.tw/,數學學類
國立臺灣大學,物理學系,本系著重個別輔導，加強師生關係，研究成績斐然。因我國高科技產業蓬勃發展，校友遍及光電，半導體…等產業。畢業生可選擇國內外就學，升學管道暢通。本系擁有極優師資、完善設備，並著重理論與實驗物理之相互支援與配合，講究前瞻性的整體規劃，充分掌握國內外之發展趨勢，研究成果倍受國際肯定，系友表現也受學界與產業界所倚重。,物理學是研究時間，空間，物質間交互作用的基本性質與原理的ㄧ門學科。物理學的理論可以是非常抽象的，如宇宙緣起於大霹靂然後就ㄧ直膨脹。但物理學的應用卻是非常廣泛的，如物理學對固態物質性質的研究成果奠定了半導體及近代科技產業發展的基礎。物理學的研究不但滿足了我們的好奇心也奠定了近代科技文明的基礎。,1.練習以口語或文字，整理、歸納各種論點，表達個人觀點，並與他人進行溝通與討論。2.嘗試問題式探究，培養邏輯思考創意能力，增加創意、發揮想像力。,"['半導體工程師', '軟體設計工程師', '教授／副教授／助理教授']","['數理科學', '語文理解與表達', '敏銳創造', '邏輯推理', '主動學習', '自省促進']","['探究冒險', '堅毅負責', '親和接納']",https://www.phys.ntu.edu.tw/Default.html,物理學類
